F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
209,10.9,Europe,-31.12,2702.19,-115.8,-23957.07,-18,991.39,9.33,Low,14.78,-62.64,-239.46,1071.54,-87.72,-12531.36,-22941.54,-0.24,0.03,2449.08,-8.43,5,1718.38,26276.58,189.22,1827.5,2182.04,227.13,-7140.39,2.98,-40.78,165.52,-145.42,1090.59,5,-56.37
194.56,7.74,USA,-13.38,1870.62,11.74,-19790.19,90.84,1176.16,9.22,Very high,27.7,-81.3,-74.63,1471.3,-67.92,-4229.42,-26957.9,-3.75,0.45,2365.32,-12.57,2,2243.88,23770.56,241.6,802.84,1987.84,264.24,-7672.83,0.42,-73.71,175.56,-175.55,868.38,5,88.85
251.52,80.36,USA,-18.44,-165.51,-42.32,-9867.96,31.12,671.06,7.89,High,14.5,-77.4,-197.41,1692.96,-72.51,-6597.34,-35394.6,0.57,0.15,3385.29,-16.15,5,-69.53,28531.08,188.74,362.94,533.1,329.91,-8787.54,4.26,-75.9,279.12,-167.68,724.03,5,19.61
196.48,-23.34,Rest,-23.7,2307.15,-95.88,-23011.29,86.46,684.06,12.22,High,18.7,-71.22,-271.1,1371.14,-69.78,-19170.42,-10163.36,15.12,1.74,1779.42,-10.32,4,3982.76,15690.93,237.42,1075.96,2182.56,250.23,-3931.86,2.72,5.73,311.66,-175.45,499.91,6,-1057.69
158.72,10.88,Rest,-14.58,2491.17,48.32,-38211.36,84.8,1021.5,7.57,High,12,-71.19,-209.88,1670.02,-75.81,-9868.3,-22583.94,-8.91,0.39,1977.24,-5,1,3688.29,30109.29,156.84,732.48,1813.1,322.68,-6321.33,5.12,-50.14,194.28,-203.58,614.16,4,191.2
247.36,5.76,Europe,-17.94,3282.15,-175.5,-28587,20.48,397.81,12.24,Very high,19,-55.95,-204.18,2315.82,-78.03,-19688.14,-30067.58,-14.13,5.82,3300.09,-13.63,6,1246.7,38583.24,165.8,258.08,1715.06,181.77,-6946.74,2.25,-30.24,299.6,-155.92,844.86,4,3024.4
128.18,-10.14,UK,-24.86,3256.8,-53.86,-38212.29,72.54,1264.19,5.28,High,10.92,-67.77,-181.79,1245.2,-55.71,-17705.98,-21975.4,0.69,1.11,1698.42,-1.07,3,3605,24167.94,193.8,1071.7,1975.12,440.16,-4651.11,3.91,-58.71,230.56,-237.5,30.69,2,1295.07
149.86,98.34,USA,-16.52,2282.73,31.64,-25605.48,152.74,986.95,6.27,Medium,26.6,-57.78,-119.72,2665.58,-69.33,-8290.48,-25256.1,20.7,0.81,2886.21,-7.99,2,5566.98,46752.24,233.84,1617.9,2205.8,361.98,-4959.72,7.17,12.65,194.2,-115.27,239.62,3,299.28
274.44,-203.16,UK,-16.94,2224.35,-106.8,-31058.22,79.02,1015.59,4.93,Very high,15.04,-66.06,-144.94,1847.92,-71.37,-17981.2,-27454.04,18.45,3.15,3433.11,-12.61,7,-163.53,26584.8,235.41,-288.06,2545.42,480.24,-5823.24,4.89,-32.15,215.48,-192.14,396.07,3,936.09
102.04,13.94,Rest,-18.4,1278.78,-5.82,-25456.71,118.1,-116.6,10.36,High,24.28,-64.62,-183.5,1679.38,-67.83,-24721.04,-26969.9,2.31,26.7,3251.61,-14.12,6,5365.61,19979.28,219.75,1284.84,600.52,335.64,-6206.4,2.61,71.49,251.82,-166.81,253.72,3,2320.56
250.22,-123.6,USA,-21.38,4246.98,-8,-28146.42,117.22,445.92,6.49,Medium,29.48,-71.55,-264.75,1271.32,-77.01,-11181.8,-13070.54,17.7,6.27,4439.52,-11.25,3,-2681.72,13897.11,166.31,661.64,3004.56,225.42,-5413.86,4.35,-48.75,221.62,-178.34,631.84,7,-87.95
97.3,359.24,USA,-17.76,2488.95,-88.28,-15896.58,13.56,898.74,13.24,Low,14.54,-55.38,-106.95,2659.36,-78.27,-11343.46,-26595.6,-11.13,2.82,3018.6,-9.78,3,4709.23,31860.51,230.9,559.6,1506.26,372.36,-6118.44,4.18,-50.07,216.52,-250.19,632.39,3,376.91
200.02,6.66,UK,-20.92,5546.25,-13.42,-27875.07,137.28,451.31,9.12,High,12.86,-58.77,-169.27,2414.8,-83.73,-15022.86,-22433.12,22.05,0.99,1483.92,-14.97,1,5284.26,30172.86,231.5,1114.8,2606.88,258.99,-4457.82,13.33,-56.91,90.44,-151.18,618.74,5,466.04
240.38,163.74,Rest,-15.48,3860.1,8.4,-21746.61,50.04,1023.59,12.43,Very high,14.56,-66.96,-190.51,1185.04,-50.61,-16115.66,-9839.6,-3.87,32.13,3046.74,-10.37,4,418.11,16912.29,223.64,-82.78,1446.48,356.52,-7358.19,2.08,-26.51,160.08,-126.26,-16.93,2,2460.28
256.12,41.2,Rest,-23.7,1336.68,123.66,-35522.43,-9.94,1188.01,8.63,Very high,19.62,-56.01,-105.09,1265.24,-46.8,-16636,-20256.5,-4.89,0.33,839.94,-15.49,6,7604.16,41882.28,166.68,-720.16,1407.32,331.26,-4794.84,2.79,-58.82,186.12,-184.19,329.83,3,2360.34
172.24,158.38,Rest,-25.48,-1601.76,115.42,-27047.07,115.54,688.43,17.33,Medium,8.96,-73.44,-190.24,27.28,-57.69,-18207.62,-16901.52,-6.24,0.09,3419.07,-12.2,3,9082.83,39739.2,261.55,1330.88,1953.54,387.06,-4903.47,1.67,31,182.92,-121.09,609.63,5,-80.66
163.52,-13.94,Rest,-21.28,1783.92,9.24,-16985.25,12.24,812.04,13.85,Medium,11.02,-79.89,-193.84,1768.16,-84.06,-26198.48,-21155.34,-25.23,340.32,3431.49,-11.24,4,6912.44,30444.39,227.37,993,2046.54,353.55,-5510.52,2.98,-17.08,167.92,-162.04,554.99,6,-835.42
231.12,20.92,USA,-27,1554.27,25.18,-27624.42,101.26,282.17,12.57,Low,-6.2,-73.17,-98.63,2824.9,-72.63,-9014,-21012.78,-2.01,0.27,1094.55,-23.49,2,3155.69,27348.57,229.95,1630.74,1461.12,372.06,-7579.2,2.87,-49.68,142,-220.36,305.07,6,-259.42
233.14,-172.2,USA,-12.92,2307.42,91,-18226.8,29.02,1005.68,6.92,Very high,27.42,-56.73,-207.21,764.76,-47.37,-19720.66,-20298.78,-23.55,3003.27,2670.66,-17.19,3,4054.12,23119.77,233.01,1137.92,1868.48,255.36,-6200.97,5.37,-14.47,161.74,-154.81,224.83,6,1941.25
194.74,34.42,Europe,-9.58,2050.02,-4.4,-38127.15,130.8,1089.57,11.1,High,-14.9,-60.66,-173.46,2060.94,-69.24,-18335.3,-26516.36,8.88,0.54,2080.77,-7.68,4,1599.7,8669.67,222.45,1936.26,2327.64,185.58,-10104.3,2.66,-67.72,86.1,-188.5,671.14,8,-36.81
145.8,37.58,USA,-23.86,1872.39,-109.24,-32480.16,-45.68,906.73,7.91,Very low,12.4,-51.42,-205.26,1327.66,-81.63,-22305.32,-12744.82,-10.47,0.36,3522.78,-10.2,4,715.21,21429.3,190.77,1170.12,1150.62,369.57,-7609.8,5.45,-49.79,277.02,-174.35,608.92,4,233.93
198.92,-97.82,USA,-15.6,2315.25,-104.3,-16765.11,65.92,413.45,11.93,High,30.46,-54.18,-151.88,2089.46,-55.47,-23786.12,-19007.26,-3.57,0.9,1558.47,-9.48,5,275.93,31583.4,165.59,872.42,1964.26,402.36,-4510.41,7.06,-43.34,-14.06,-226.07,603.41,4,367.63
239.76,-11.24,Rest,-9.88,3226.86,73.84,-22285.47,97.1,542.07,11.44,Low,15.52,-52.47,-190.57,1761.84,-73.53,-13068.82,-19697.84,1.26,0.12,2671.11,-13.07,6,3700.65,39850.29,213.78,-445.8,1099.14,389.37,-4785.66,6.99,-22.22,204.5,-126.86,421.01,2,727.53
225,0,Rest,-17.68,2344.71,16.28,-20891.1,139.58,1339.73,5.65,Very high,15.7,-62.91,-220.33,1514.9,-84.45,-10926.5,-17593.84,-11.19,5.19,4059.69,-11.19,5,1039.72,38328.54,238.73,1805.88,1827.56,364.74,-6100.8,4.22,-42.72,256.14,-156.94,678.54,8,-148.76
215.34,182.98,Europe,-15.06,3009.93,38.12,-21722.85,41.64,574.53,2.77,High,-0.02,-58.02,-177.96,1899.14,-66.3,-21377.82,-11741.7,-22.95,3.36,1421.52,-10.44,7,1717.86,21512.22,278.44,1741.24,1443.7,234.48,-9338.46,2.22,61.44,221.98,-148.17,562.78,7,-50.24
114.04,370.56,Rest,-19.32,2037.72,-42.36,-21177.09,65.4,1103.32,7.47,Medium,19.7,-63.33,-186.18,1787.38,-74.25,-18794.3,-12006.7,-1.44,0.24,1676.79,-12.49,6,4409.82,17558.43,219.86,642.74,714.7,312.87,-7241.16,1.12,-48.88,303.78,-170.03,122.13,4,-962.78
213.12,-121.12,UK,-16.96,2802.99,-88.96,-18100.11,108.6,526.95,9.24,Low,6.6,-68.34,-154.81,1565.74,-78.57,-18775.76,-13445.54,7.41,74.1,3016.62,-9.16,2,4165.09,36278.13,256.02,375.14,2336.78,332.49,-4972.32,0.91,-22.07,238.32,-78.26,227.32,3,748
275.58,10.56,USA,-21.68,-1177.35,-19.1,-24374.37,139.62,654.7,18.14,High,17.08,-61.59,-186.05,1303.14,-68.7,-17421.94,-20283.96,15.42,381.48,2386.17,-11.55,1,2801.67,30107.46,265.49,-344.84,645.9,425.13,-6852.18,2.63,-226.31,212.8,-157.8,351.84,4,1544.7
323.58,-42.52,USA,-9.94,2735.4,-87,-32052.36,72.2,801.75,9.66,Very low,7.2,-58.89,-176.4,1673.7,-77.64,-22796.76,-35753.72,-26.13,1.11,828.15,-7.52,1,2615.67,40148.52,229.13,1003.3,2240.94,337.08,-8089.14,2.43,-21.01,151.5,-161.28,492.92,3,707.23
116.36,70.84,Rest,-26.8,2943.48,-147.86,-27216.03,120.16,802.67,3.85,Very high,14.78,-61.71,-185.1,1246.12,-67.11,-19352.86,-16874.46,5.22,0.12,1217.04,-8.21,3,2439.95,28408.44,269.38,1216.4,1811.86,332.01,-5852.52,2.42,22.88,182.16,-173.56,356.26,5,920.68
304.08,-26.68,Rest,-10.92,2094.39,-86,-18432.93,-7.76,547.46,6.22,Low,19.2,-60.63,-234.75,1133.28,-86.67,-12378.94,-6948.96,22.95,6.66,990.78,-12.42,5,7837.86,18226.08,265.91,331.68,1030.14,307.29,-6810.9,6.73,-10.46,261.86,-133.6,835.58,5,-305.96
216.4,62.18,UK,-16.54,2053.92,63.2,-22094.49,-35.68,1199.54,9.9,Low,6.74,-54.72,-216.91,2361.38,-65.82,-26653.2,-15407.6,8.55,0.27,1298.16,-10.46,4,1182.06,27981.51,234.76,888.8,1985.64,342.54,-2173.83,4.63,-65.16,268.98,-186.98,1286.68,6,-595.57
196.16,22.9,Rest,-21.18,2100.84,5.78,-24028.41,-20.86,693.86,8.04,Low,-6.42,-62.67,-160.77,2522.06,-71.64,-12337.68,-8763,11.49,16.44,3430.92,-9.71,1,5021.64,19959.75,233.6,-56.88,1887.78,316.92,-4631.34,15.19,51.3,196.32,-135.03,947.6,3,-641.56
34.52,-16.44,UK,-20.04,3480.75,32.84,-36999.9,157.42,745.16,6.72,Low,12.34,-75.69,-202.06,2296.74,-69.21,-11075.3,-11164.92,18.21,2.76,2239.92,-7.11,6,3611.3,19325.37,198.37,2033.72,1682.92,309.69,-7479.27,4.18,-11.89,262.88,-162.94,577.38,5,-1628.67
220.78,23.2,Rest,-18.98,2049.06,-173.08,-19940.04,36.58,611.59,14.39,Medium,10.94,-60.78,-122.26,1555.66,-31.95,-6135.06,-13063.1,-21.3,9.51,2667.09,-9.02,6,2347.77,18812.1,374.2,360.3,963.94,226.32,-5066.94,1.22,-59.31,276.98,-189.95,651.33,2,1584.56
275.66,55.02,Rest,-25.36,2726.64,-176.2,-29097.39,94.02,533.09,8.59,High,24.34,-57.66,-237.9,1559.62,-71.94,-15648.46,-22209.4,-10.83,0.03,1655.97,-13.4,4,5680.38,20697.18,176.62,616.88,1831.3,212.25,-5991.45,0.9,25.09,108.1,-149.59,988.22,7,-592.05
135.64,79.5,UK,-26.26,300.09,97.8,-21709.62,64.06,475.26,12.2,Medium,35.66,-70.26,-134.37,2281.9,-60.03,-19679.8,-27075.64,-0.54,0.78,2595.42,-11.68,4,3538.63,9659.55,243.2,958,1368.92,422.67,-6870.24,4.06,8.11,296.56,-179.17,774.18,3,82.37
127.2,128.62,UK,-24.28,6146.73,-38.54,-18925.14,21.36,860.87,-0.44,Very low,14.54,-55.8,-223.88,1212.42,-71.4,-18271.1,-15674.88,4.02,0.12,3073.53,-10.98,2,3169.88,24916.62,303.1,1659.06,2277.4,358.47,-8128.65,11.19,-26.14,225.8,-203.28,976.73,3,444.36
205.84,-115.34,USA,-28.82,4524.42,-57.74,-9843.6,5.14,919.75,-2.35,Very high,-4.8,-54.15,-252.93,342.7,-79.44,-16217.24,-9146.32,-4.11,13750.11,1704,-7.93,2,6921.47,15701.13,177.28,-37.46,1422.18,312.24,-6812.58,6.86,8.66,159.54,-180.2,695.11,5,2471.79
294.96,13.82,UK,-26,1927.47,-29.68,-35025.6,-9.62,842.91,11.86,Low,36.96,-62.28,-177.23,1812.4,-135.72,-19031.24,-25749.66,-34.77,0.12,2341.44,-10.77,3,4398.95,16696.71,227.62,498.26,1184.46,449.76,-6109.35,1.86,-38.85,110.8,-199.24,701.67,5,35.58
165.8,209.12,Europe,-20.8,195.81,-10.9,-16193.04,120.18,530.33,7.96,Medium,18.4,-71.13,-178.37,1698.86,-64.41,-9144.46,-17869.44,18.3,1.29,862.8,-12.39,4,3653.6,37052.61,181.38,843.24,1764.8,225.9,-5619.78,3.2,-39.34,304.98,-228.95,995.34,5,-92.79
276.52,143.38,USA,-17.02,2089.26,-45.22,-27942.18,59.54,817.26,-2.01,Low,-10.72,-63.39,-168.52,2439.32,-71.16,-21666.42,-20265.06,1.35,0,4219.68,-9.74,4,4679.88,21980.37,220.59,432.54,934.34,258.93,-4700.49,0.79,-66.33,287.24,-195.84,595.46,7,-287.19
224.64,13.08,Europe,-22.06,2216.46,-126.94,-12354.45,-22.54,870.06,2.95,Medium,21.02,-65.1,-205.87,1846.74,-56.82,-16208.34,-17800.64,16.95,0.63,1972.14,-19.1,7,4663.42,23809.53,198.01,1301.88,854.72,281.07,-7272.18,3.61,-19.63,163.68,-234.73,1156.6,7,-145.59
238.66,-24.12,Europe,-23.72,1467.39,62.78,-8977.98,59.34,1306.01,10.63,Medium,10.64,-65.31,-263.03,1529.32,-71.1,-22090.28,-24375.42,-7.77,0.3,4199.76,-4.56,2,6763.03,37509.39,220.91,1233.34,1609.64,128.28,-7007.97,3.15,-55.68,141.5,-136.05,252.24,2,1921.13
191.36,176.04,USA,-20.2,649.77,-6.06,-21281.4,33.24,534.39,10.88,Very low,14.44,-54.93,-25.65,2233.62,-57.27,-14362.58,-19633.94,-6.9,967.77,1061.88,-7.26,4,5690.41,12423.99,243.67,1189.6,935.92,385.92,-5752.41,1.79,-85.38,238.08,-165.02,929.16,2,935.32
160.18,-39.16,USA,-25.5,2851.95,13.96,-33789.51,136.34,833.22,-3.6,Very low,3.58,-58.56,-104.74,1758.12,-68.46,-14239.44,-15597.22,-3.93,0.09,1973.16,3.41,4,5268.35,33323.43,133.3,638.74,2294.22,309.36,-6339.48,1.36,-69.35,196.9,-168.09,842.41,4,-69.96
293.78,1.66,Europe,-19.08,3034.05,25.68,-12374.01,60.22,355.71,4.36,Medium,18.12,-53.61,-168.3,2083.42,-63.12,-18221.84,-28389.94,-12.03,6,2360.22,-13.27,6,3235.87,14779.68,204.28,710.6,1517.62,319.32,-6510.78,0.31,-18.49,171.2,-206.54,289.44,3,2988.49
228.24,83.36,Rest,-18.14,1851.33,9.4,-24946.8,85.04,619.85,8.08,Medium,19.78,-58.41,-103.71,1121.72,-42.18,-19601.66,-25797.32,-1.86,6.09,2200.8,-8.14,6,4074.37,46492.23,134.88,520.24,1057.64,299.28,-5187.99,0.45,-19.97,135.16,-155.9,84.69,2,2697.84
324.7,97.22,USA,-24.06,828.57,-10.8,-20744.61,39.46,662.25,6.74,Very high,15.94,-77.25,-224.82,1237.54,-64.89,-18787.04,-8736.56,-5.73,6.9,1121.52,-12.4,3,6062.13,4359.33,221.62,980.54,2233.36,286.62,-4744.65,5.22,192.27,187.06,-172.27,776.92,4,137.67
140.58,57.88,UK,-35.64,3836.97,-35.36,-30384.06,48.96,747.6,8.3,Medium,12.86,-57.93,-169.98,1128.22,-67.62,-18109.62,-11253.82,-15.54,0.09,2655.9,-10.84,1,3022.49,35793.57,262.88,1427.86,1824.14,187.83,-5850.45,1.74,-124.68,301.58,-127.86,524.57,2,1185.32
260.82,29.86,UK,-27.26,841.71,-18.42,-28698.06,159,990.29,9.87,Medium,10.38,-83.73,-184.8,1784.46,-75.42,-12022.44,-19224.48,0.24,2.37,3573.27,-18.57,7,6927.12,23038.41,252.98,723.28,1774.28,225.96,-5910.57,8.72,-38.48,136.56,-143.31,650.99,5,-1413.62
254.48,103.72,USA,-29.66,4801.35,6.32,-36075.96,79.12,246.99,8.71,Very high,18.18,-60.96,-223.68,2568.8,-68.91,-16361.12,-20798.12,-6.09,3.42,1370.61,-11.49,6,-3724.44,27322.5,235.45,231.2,1555.52,141.81,-6119.91,3.3,-19.86,189.48,-207.65,699.25,5,168.22
313.54,110.52,UK,-24.38,1351.2,41.16,-13010.34,60.02,467.34,10.02,Very high,12.18,-63.09,-193.57,2388.02,-76.98,-19254.32,-18816.84,-0.18,0.51,2057.94,-8.91,8,5975.99,26714.19,156.14,1385.56,2615.62,374.79,-6658.44,6.57,84.79,121.5,-165.5,655.51,4,-209.65
229.56,18.2,Rest,-9.56,2910.69,38.86,-31532.91,-4.58,1194.61,7.04,High,21.18,-55.41,-431.19,1767.54,-64.95,-14631.66,-8171.86,-7.95,5.4,3070.98,-10.64,6,3140.63,29771.76,262.87,1341.22,1593.78,489.24,-5948.64,2.78,4.91,60.86,-150.5,627.67,2,1742.28
156.08,135.48,Rest,-25.8,2180.25,24.04,-36354.12,57.22,1306.94,3.88,Low,20.26,-56.4,-180.63,1967.38,-72.21,-18886.74,-14349.62,-6.54,0.06,3226.77,-9.98,6,7230.45,19188.51,271.59,1715.76,1835.96,421.8,-3095.76,0.31,-72.81,126.7,-135.09,559.76,5,-1242.42
212.2,-6.14,Europe,-17.66,1539.3,8.38,-21790.32,70.92,1009.51,8.8,Very low,11.36,-52.77,-187.34,2412.3,-65.16,-12057.58,-28624.38,26.4,916.92,2038.8,-8.82,5,8362.36,26420.85,262.78,174.6,1382.02,221.73,-6923.43,1.91,-23.99,136.6,-361.18,427.6,7,1274.15
209.86,21.48,Europe,-16.5,1410.72,-18.22,-16674.84,40.3,416.84,9.28,High,16.06,-54.87,-147.44,2057.14,-61.2,-12197.18,-11337.12,-6,8.61,978.06,-5.68,5,1580.23,15634.83,203.33,701.98,855.78,349.77,-4503.81,4.87,-54.32,70.34,-161.34,-257.93,2,2748.61
224.56,-8,UK,-23.22,2741.7,86.46,-20227.65,113.5,1042.68,6.55,Very high,10.56,-58.8,-174.04,1527.6,-92.79,-15097.98,-11978.78,-0.03,32.91,1942.65,-19.31,3,-2650.38,33963.66,176.1,1164.38,1228,253.68,-5877.24,1.52,-30.47,242.5,-158.67,397.61,1,2377.58
209.3,130.16,Europe,-4.42,2051.88,-29.84,-29761.86,21.86,309.37,11.82,Low,19.1,-63.6,-186.83,2014.54,-70.11,-25363.6,-22299.36,8.58,18.48,3010.23,-11.8,2,6964.73,16930.98,234.48,1276.84,1819.06,249.12,-5251.98,1.81,-38.09,40.84,-173.36,552.13,5,531.51
224.14,34.08,Rest,-15.9,1263.66,97.62,-19458,90.76,825.54,7.23,Very high,14.76,-53.85,-195.26,1204.22,-85.23,-19178.02,-28766.02,-10.41,0.09,1256.49,-10.55,5,1945.26,25281.36,358.75,2023.74,1219.46,280.41,-5997.99,3.21,83.32,222.42,-217.29,657.74,3,2722.76
185.88,4,USA,-18.54,2281.68,69.34,-41066.76,131.92,265.38,9.26,Very low,16.08,-54.84,-155.98,872.06,-87.99,-3322.78,-19710.54,-6.33,0.39,1599.45,-10.88,6,3071.81,24954.27,166.13,704.38,2098.92,210.48,-8984.55,3.31,-10.31,206.36,22.85,893.6,6,104.93
240.74,-103.9,Europe,-30.84,441.87,23.24,-21725.52,135.24,731.44,9.99,Very high,39.04,-60,-175.98,963.54,-64.71,-26461.7,-20414.92,1.53,1.68,1109.04,-14.25,5,7425.88,35457.75,258.78,161.98,1477.76,250.05,-4348.71,6.73,3.66,213.36,-216.14,651.3,4,3252.92
238.62,47.54,Rest,-9.66,4087.29,-28.18,-11732.07,42.94,677.56,14.61,Low,15.34,-55.2,-176.82,1335.6,-68.49,-7294.06,-24387.58,-8.49,3.33,3882,-8.07,4,8690.12,25805.25,226.92,2236.8,611.98,253.05,-5202.09,4.5,-88.41,224.1,-204.01,79.57,4,2115.6
210.5,113.3,UK,-27.56,2050.14,28.66,-19384.41,53.82,785.8,11.14,Very low,12.9,-101.64,-184.5,2171.58,-78.69,-17493.5,-26772.94,0.6,8.46,1628.64,-9.18,5,3710.22,25989.09,186.97,812.16,1685.68,325.02,-6798.66,1.8,-17.96,172.94,-157.84,751.58,4,-2281.95
134.22,38,UK,-16.64,1864.08,0.88,-34928.43,-5.04,1474.83,5.96,Very low,15.58,-53.34,-223.79,1476.76,-44.16,-29255.8,-17823.92,-4.02,383.37,1958.19,-5.52,3,-853.8,28649.31,212.58,1239.06,834.86,379.14,-7863,5.06,-28.11,231.52,-194.98,962.57,1,2333.91
238.58,-78.4,Europe,-33.1,1869.03,71.32,-10718.52,142.58,1270.93,1.87,Very low,9.84,-73.8,-145.18,1260.2,-92.31,-19013.3,-15305.86,1.68,0.3,3494.7,-12.17,2,527.57,37870.86,192.54,1208.08,2168.94,336.78,-5278.38,2.77,-42.83,196.96,-251.94,1042.61,2,-73.64
205.8,-71.56,USA,-21.06,4413.78,2.32,-35199.9,51.98,674.18,9.14,Low,5.2,-55.26,-182.32,1937.56,-72.63,-14444.02,-11943.92,-4.65,26.46,2986.05,-7.19,4,4454.99,18259.2,164.47,316,1832.34,365.82,-7647.48,5.46,-47.14,170.54,-168.55,980.59,4,319.81
106.2,-20.5,Europe,-14.3,2277.9,-8.46,-26512.5,46.9,918.08,8.63,Medium,23.82,-57.36,-182.39,1974.54,-80.67,-14493.4,-12581.52,-9.03,0,1987.2,-10.5,5,2542.9,32807.07,201.57,1264.98,1368.1,160.95,-5914.11,1.02,-38.07,231.44,-282.45,842.6,4,-111.36
214.42,-92.72,Europe,-26.24,-1102.26,94.74,-21348.09,147.66,1162.61,9.22,Very high,11.1,-61.92,-178.86,1197.9,-81.27,-15349.78,-14909.46,-4.38,27,1848.93,-21.37,6,3294.99,36959.1,218.24,1508.28,1935.74,328.41,-6293.82,4.73,-59.19,327.32,-195.25,640.51,8,682.75
327.34,11.2,UK,-21.7,2076.69,119.66,-24103.83,109.82,1025.73,2.35,Medium,9.5,-55.89,-188.75,1110.2,-57.18,-14757.66,-23569.08,-0.9,156.69,3173.4,-11.18,7,2242.65,30494.46,207.44,624.86,1714.78,409.86,-7160.16,7.12,17.3,182.32,-173.26,2.87,5,1641.78
152.9,-78.1,Rest,-12.28,1885.41,86.8,-20132.94,110.6,868.38,9.43,Medium,17.52,-51.84,-179.33,1562.24,-63.39,-15312.76,-24863.5,-3.63,5065.8,2356.02,-10.26,7,1583.59,11485.98,213.97,533.92,1373.32,239.16,-4977.27,1.28,-78.8,139.82,-177.33,931.91,3,2961.25
363.76,115.5,UK,-27.62,3440.82,70.72,-32067.72,123.12,900.15,9.16,Low,18.96,-60.15,-189.14,2229.44,-40.68,-31302.84,-25926.98,-4.14,0,1465.14,-11.87,5,-336.94,1755,331.76,1369.4,2721.02,291.99,-4818.03,1.77,-20.65,114.98,-169.05,696.14,2,-557.01
244.44,103.56,Europe,-19.78,4626.42,55.9,-15396.63,53.2,888.81,4.07,High,20.7,-61.8,-195.6,1700.94,-70.29,-21733.08,-9734.3,-13.38,3.66,1802.97,-8.71,3,4022.55,44516.7,238.35,1304.56,1449.18,321.78,-5840.94,6.91,18.7,140.54,-141.88,580.03,1,2591.69
242.42,-20.78,USA,-21.58,1121.91,-77.56,-33193.56,64.8,631.03,14.74,Very high,18.64,-63.09,-159.59,1849.94,-68.61,-21700.2,-17341.98,-2.88,8.91,2121.42,-9.68,5,5144.44,26011.62,338.54,627.16,1107.28,253.53,-6896.7,3.62,25.2,136.58,-117.05,458.88,3,654.18
121.6,39.8,Europe,-27.36,2533.26,-3.82,-40552.86,43.3,748.56,9.55,High,16.64,-58.53,-171.78,2012.58,-72.54,-19316.24,-13128.76,-6.57,0.12,1737.42,-11.85,6,1625.17,24460.89,225.87,1578.16,1221,198.87,-4459.08,2.86,92.99,174.2,-196.18,446.97,4,23.35
187.9,-96.6,USA,-30.92,1294.86,205.16,-32590.59,123.64,620.5,13.05,High,16.94,-54.39,-114.46,1050.06,-69.21,-9728.62,-14641.6,-19.98,1.5,2157.27,-9.97,3,905.27,43999.11,211.13,1654.8,2955.2,261.09,-5380.74,2.96,-18.97,310.26,-176.99,228.78,3,975.87
127.68,-28.48,USA,-16.24,6,-186,-28161.24,68.9,409.04,11.08,Very low,-3.6,-64.62,-91.68,2014.64,-96.03,-21845.32,-6884.7,-12.63,0.06,3731.64,-13.19,3,2829.14,28603.59,218.61,1826.48,1818.58,343.26,-5616.3,1.35,-24.54,234.94,-134.47,148.03,6,-272.01
177.1,129.58,Europe,-21.14,2069.1,26.82,-24924.18,-12.94,526.39,6.65,Very low,17.76,-56.7,-172.17,1175.8,-70.56,-8125.28,-15209.08,-9.84,62.58,897.48,-10.61,4,3578.2,38638.26,228.44,148.56,2083.82,361.77,-7535.28,1.23,-88.98,321.3,-168.45,442.54,4,2147.25
168.34,-8.28,USA,-24.08,1137.21,4.86,-19957.11,49.44,571.8,9,Medium,7.62,-70.56,-170.71,808.16,-72.87,-11732.94,-21638.18,-2.76,2643.51,2718.84,-16.65,5,1108.7,21491.73,223.19,81.82,2209.2,356.13,-5893.92,3.49,-30.58,245.54,-188.66,941.25,6,676
201.84,-1.12,Europe,-29.78,904.56,-35.16,-28690.77,3.3,1007.82,9.89,Very high,20.86,-57.45,-199.11,2414.26,-72.6,-24699.2,-13434.74,-9.66,66.33,2614.77,-13.65,3,891,37631.79,143.08,1531.02,496,504.78,-4310.85,4.28,9.32,180.42,-158.9,821.36,0,3749.82
160.52,9.22,UK,-20.4,2087.22,-34.24,-30145.29,50.7,906.52,10.38,High,17.74,-56.52,-301.06,1658.9,-62.37,-8837.5,-14877.44,5.58,0.57,2051.13,-11.22,4,10098.18,20426.85,249.88,-131.94,2383.48,295.26,-5405.34,3.79,-25.97,239.46,-174.4,798.37,3,978.49
183,19.72,Rest,-22.56,3637.26,46.02,-28707.63,68.1,574.27,5.48,Low,6.78,-53.97,-191.99,1041.4,-63.06,-8247.12,-9072.44,-5.94,0.36,2297.94,-4.04,5,-3218.3,13108.56,270.93,143.42,886.36,397.92,-5667.99,2.83,-29.74,259.3,-234.23,819.83,2,1449.5
233.4,-169.64,UK,-21.64,2416.26,155.18,-22134.51,73.7,746.52,-1.58,Medium,13.24,-55.47,-178.53,1805.54,-84.06,-17127.84,-25403.06,21.18,0.51,2845.86,-13.97,5,3586.47,34945.14,252.6,1576.42,1592.9,247.53,-6213.3,2.25,-42.44,237.18,-146.3,80.48,6,455.03
